date,sku_id,stock_on_hand
2021-01-01,1,467
2021-01-02,1,461
2021-01-03,1,320
2021-01-04,1,304
2021-01-05,1,396
2021-01-06,1,341
2021-01-07,1,391
2021-01-08,1,551
2021-01-09,1,483
2021-01-10,1,536
2021-01-11,1,329
2021-01-12,1,514
2021-01-13,1,461
2021-01-14,1,303
2021-01-15,1,359
2021-01-16,1,365
2021-01-17,1,544
2021-01-18,1,322
2021-01-19,1,381
2021-01-20,1,377
2021-01-21,1,528
2021-01-22,1,424
2021-01-23,1,453
2021-01-24,1,381
2021-01-25,1,556
2021-01-26,1,441
2021-01-27,1,487
2021-01-28,1,373
2021-01-29,1,345
2021-01-30,1,315
2021-01-31,1,369
2021-02-01,1,511
2021-02-02,1,411
2021-02-03,1,441
2021-02-04,1,457
2021-02-05,1,329
2021-02-06,1,298
2021-02-07,1,321
2021-02-08,1,461
2021-02-09,1,474
2021-02-10,1,473
2021-02-11,1,439
2021-02-12,1,320
2021-02-13,1,428
2021-02-14,1,560
2021-02-15,1,300
2021-02-16,1,458
2021-02-17,1,371
2021-02-18,1,302
2021-02-19,1,487
2021-02-20,1,399
2021-02-21,1,323
2021-02-22,1,354
2021-02-23,1,322
2021-02-24,1,528
2021-02-25,1,546
2021-02-26,1,481
2021-02-27,1,539
2021-02-28,1,453
2021-03-01,1,401
2021-03-02,1,325
2021-03-03,1,301
2021-03-04,1,340
2021-03-05,1,478
2021-03-06,1,433
2021-03-07,1,298
2021-03-08,1,388
2021-03-09,1,480
2021-03-10,1,536
2021-03-11,1,473
2021-03-12,1,460
2021-03-13,1,424
2021-03-14,1,326
2021-03-15,1,551
2021-03-16,1,390
2021-03-17,1,395
2021-03-18,1,487
2021-03-19,1,380
2021-03-20,1,404
2021-03-21,1,350
2021-03-22,1,334
2021-03-23,1,477
2021-03-24,1,520
2021-03-25,1,567
2021-03-26,1,510
2021-03-27,1,542
2021-03-28,1,541
2021-03-29,1,462
2021-03-30,1,344
2021-03-31,1,448
2021-04-01,1,469
2021-04-02,1,513
2021-04-03,1,327
2021-04-04,1,536
2021-04-05,1,455
2021-04-06,1,378
2021-04-07,1,345
2021-04-08,1,511
2021-04-09,1,391
2021-04-10,1,397
2021-04-11,1,488
2021-04-12,1,466
2021-04-13,1,530
2021-04-14,1,472
2021-04-15,1,469
2021-04-16,1,312
2021-04-17,1,463
2021-04-18,1,486
2021-04-19,1,393
2021-04-20,1,508
2021-04-21,1,464
2021-04-22,1,467
2021-04-23,1,330
2021-04-24,1,341
2021-04-25,1,361
2021-04-26,1,409
2021-04-27,1,466
2021-04-28,1,394
2021-04-29,1,299
2021-04-30,1,504
2021-05-01,1,467
2021-05-02,1,388
2021-05-03,1,380
2021-05-04,1,484
2021-05-05,1,559
2021-05-06,1,495
2021-05-07,1,374
2021-05-08,1,446
2021-05-09,1,397
2021-05-10,1,327
2021-05-11,1,443
2021-05-12,1,560
2021-05-13,1,542
2021-05-14,1,532
2021-05-15,1,488
2021-05-16,1,345
2021-05-17,1,400
2021-05-18,1,534
2021-05-19,1,356
2021-05-20,1,517
2021-05-21,1,317
2021-05-22,1,451
2021-05-23,1,436
2021-05-24,1,557
2021-05-25,1,500
2021-05-26,1,548
2021-05-27,1,453
2021-05-28,1,361
2021-05-29,1,427
2021-05-30,1,537
2021-05-31,1,408
2021-06-01,1,342
2021-06-02,1,405
2021-06-03,1,548
2021-06-04,1,475
2021-06-05,1,447
2021-06-06,1,309
2021-06-07,1,438
2021-06-08,1,352
2021-06-09,1,491
2021-06-10,1,305
2021-06-11,1,363
2021-06-12,1,356
2021-06-13,1,365
2021-06-14,1,539
2021-06-15,1,509
2021-06-16,1,300
2021-06-17,1,492
2021-06-18,1,514
2021-06-19,1,494
2021-06-20,1,350
2021-06-21,1,537
2021-06-22,1,463
2021-06-23,1,464
2021-06-24,1,520
2021-06-25,1,381
2021-06-26,1,446
2021-06-27,1,506
2021-06-28,1,333
2021-06-29,1,374
2021-06-30,1,473
2021-07-01,1,522
2021-07-02,1,314
2021-07-03,1,311
2021-07-04,1,548
2021-07-05,1,337
2021-07-06,1,396
2021-07-07,1,482
2021-07-08,1,496
2021-07-09,1,522
2021-07-10,1,530
2021-07-11,1,461
2021-07-12,1,572
2021-07-13,1,534
2021-07-14,1,488
2021-07-15,1,373
2021-07-16,1,390
2021-07-17,1,431
2021-07-18,1,316
2021-07-19,1,552
2021-07-20,1,482
2021-07-21,1,503
2021-07-22,1,516
2021-07-23,1,531
2021-07-24,1,392
2021-07-25,1,543
2021-07-26,1,482
2021-07-27,1,444
2021-07-28,1,352
2021-07-29,1,376
2021-07-30,1,313
2021-07-31,1,401
2021-08-01,1,440
2021-08-02,1,561
2021-08-03,1,418
2021-08-04,1,392
2021-08-05,1,530
2021-08-06,1,409
2021-08-07,1,528
2021-08-08,1,332
2021-08-09,1,382
2021-08-10,1,397
2021-08-11,1,407
2021-08-12,1,475
2021-08-13,1,391
2021-08-14,1,293
2021-08-15,1,308
2021-08-16,1,357
2021-08-17,1,486
2021-08-18,1,467
2021-08-19,1,419
2021-08-20,1,432
2021-08-21,1,518
2021-08-22,1,385
2021-08-23,1,539
2021-08-24,1,425
2021-08-25,1,392
2021-08-26,1,442
2021-08-27,1,305
2021-08-28,1,407
2021-08-29,1,457
2021-08-30,1,567
2021-08-31,1,312
2021-09-01,1,475
2021-09-02,1,441
2021-09-03,1,344
2021-09-04,1,293
2021-09-05,1,425
2021-09-06,1,500
2021-09-07,1,506
2021-09-08,1,497
2021-09-09,1,308
2021-09-10,1,432
2021-09-11,1,367
2021-09-12,1,434
2021-09-13,1,497
2021-09-14,1,465
2021-09-15,1,545
2021-09-16,1,389
2021-09-17,1,383
2021-09-18,1,424
2021-09-19,1,545
2021-09-20,1,417
2021-09-21,1,535
2021-09-22,1,505
2021-09-23,1,533
2021-09-24,1,322
2021-09-25,1,450
2021-09-26,1,502
2021-09-27,1,344
2021-09-28,1,481
2021-09-29,1,437
2021-09-30,1,526
2021-10-01,1,352
2021-10-02,1,498
2021-10-03,1,310
2021-10-04,1,326
2021-10-05,1,475
2021-10-06,1,469
2021-10-07,1,443
2021-10-08,1,437
2021-10-09,1,380
2021-10-10,1,465
2021-10-11,1,429
2021-10-12,1,500
2021-10-13,1,557
2021-10-14,1,523
2021-10-15,1,351
2021-10-16,1,346
2021-10-17,1,346
2021-10-18,1,543
2021-10-19,1,406
2021-10-20,1,500
2021-10-21,1,549
2021-10-22,1,484
2021-10-23,1,337
2021-10-24,1,304
2021-10-25,1,402
2021-10-26,1,392
2021-10-27,1,430
2021-10-28,1,531
2021-10-29,1,447
2021-10-30,1,321
2021-10-31,1,416
2021-11-01,1,425
2021-11-02,1,411
2021-11-03,1,478
2021-11-04,1,317
2021-11-05,1,466
2021-11-06,1,491
2021-11-07,1,400
2021-11-08,1,301
2021-11-09,1,487
2021-11-10,1,510
2021-11-11,1,318
2021-11-12,1,507
2021-11-13,1,435
2021-11-14,1,372
2021-11-15,1,482
2021-11-16,1,289
2021-11-17,1,320
2021-11-18,1,507
2021-11-19,1,329
2021-11-20,1,427
2021-11-21,1,363
2021-11-22,1,356
2021-11-23,1,346
2021-11-24,1,435
2021-11-25,1,482
2021-11-26,1,357
2021-11-27,1,385
2021-11-28,1,414
2021-11-29,1,526
2021-11-30,1,407
2021-12-01,1,455
2021-12-02,1,528
2021-12-03,1,437
2021-12-04,1,299
2021-12-05,1,391
2021-12-06,1,490
2021-12-07,1,488
2021-12-08,1,545
2021-12-09,1,391
2021-12-10,1,420
2021-12-11,1,453
2021-12-12,1,517
2021-12-13,1,361
2021-12-14,1,516
2021-12-15,1,410
2021-12-16,1,467
2021-12-17,1,397
2021-12-18,1,525
2021-12-19,1,509
2021-12-20,1,334
2021-12-21,1,417
2021-12-22,1,529
2021-12-23,1,342
2021-12-24,1,527
2021-12-25,1,370
2021-12-26,1,509
2021-12-27,1,379
2021-12-28,1,370
2021-12-29,1,495
2021-12-30,1,458
2021-12-31,1,327
2022-01-01,1,413
2022-01-02,1,307
2022-01-03,1,388
2022-01-04,1,456
2022-01-05,1,344
2022-01-06,1,344
2022-01-07,1,318
2022-01-08,1,512
2022-01-09,1,448
2022-01-10,1,341
2022-01-11,1,561
2022-01-12,1,303
2022-01-13,1,509
2022-01-14,1,472
2022-01-15,1,448
2022-01-16,1,523
2022-01-17,1,503
2022-01-18,1,376
2022-01-19,1,404
2022-01-20,1,398
2022-01-21,1,484
2022-01-22,1,421
2022-01-23,1,558
2022-01-24,1,365
2022-01-25,1,422
2022-01-26,1,475
2022-01-27,1,450
2022-01-28,1,545
2022-01-29,1,408
2022-01-30,1,518
2022-01-31,1,329
2022-02-01,1,300
2022-02-02,1,510
2022-02-03,1,470
2022-02-04,1,441
2022-02-05,1,555
2022-02-06,1,380
2022-02-07,1,352
2022-02-08,1,432
2022-02-09,1,545
2022-02-10,1,314
2022-02-11,1,397
2022-02-12,1,494
2022-02-13,1,507
2022-02-14,1,478
2022-02-15,1,423
2022-02-16,1,556
2022-02-17,1,468
2022-02-18,1,391
2022-02-19,1,310
2022-02-20,1,462
2022-02-21,1,562
2022-02-22,1,317
2022-02-23,1,541
2022-02-24,1,371
2022-02-25,1,465
2022-02-26,1,356
2022-02-27,1,292
2022-02-28,1,503
2022-03-01,1,385
2022-03-02,1,330
2022-03-03,1,465
2022-03-04,1,498
2022-03-05,1,325
2022-03-06,1,320
2022-03-07,1,522
2022-03-08,1,379
2022-03-09,1,349
2022-03-10,1,423
2022-03-11,1,503
2022-03-12,1,392
2022-03-13,1,312
2022-03-14,1,509
2022-03-15,1,418
2022-03-16,1,479
2022-03-17,1,467
2022-03-18,1,416
2022-03-19,1,520
2022-03-20,1,491
2022-03-21,1,454
2022-03-22,1,550
2022-03-23,1,539
2022-03-24,1,527
2022-03-25,1,363
2022-03-26,1,539
2022-03-27,1,362
2022-03-28,1,482
2022-03-29,1,432
2022-03-30,1,521
2022-03-31,1,479
2022-04-01,1,525
2022-04-02,1,506
2022-04-03,1,486
2022-04-04,1,407
2022-04-05,1,505
2022-04-06,1,352
2022-04-07,1,426
2022-04-08,1,446
2022-04-09,1,546
2022-04-10,1,331
2022-04-11,1,472
2022-04-12,1,535
2022-04-13,1,392
2022-04-14,1,307
2022-04-15,1,364
2022-04-16,1,481
2022-04-17,1,543
2022-04-18,1,420
2022-04-19,1,507
2022-04-20,1,562
2022-04-21,1,385
2022-04-22,1,507
2022-04-23,1,437
2022-04-24,1,365
2022-04-25,1,293
2022-04-26,1,421
2022-04-27,1,306
2022-04-28,1,491
2022-04-29,1,329
2022-04-30,1,356
2022-05-01,1,304
2022-05-02,1,428
2022-05-03,1,426
2022-05-04,1,333
2022-05-05,1,303
2022-05-06,1,474
2022-05-07,1,499
2022-05-08,1,524
2022-05-09,1,411
2022-05-10,1,498
2022-05-11,1,519
